model,dataset,subset,horizon,FDE,ADE,baseline_FDE,baseline_ADE,improvement,episodes,alpha,residual_magnitude,physical_validity,trial_id,alpha_regularization,residual_clip,hard_failure_weight,t100_weight,interaction_mode,scene_goal_mode
alpha_only_no_residual,aerialmpt,all,1,0.514499,0.514499,0.514499,0.514499,0.0,8,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,aerialmpt,all,5,2.7401,2.7401,2.7401,2.7401,0.0,8,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,aerialmpt,all,10,4.176528,4.176528,4.176528,4.176528,0.0,7,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,aerialmpt,baseline_failure,1,0.514499,0.514499,0.514499,0.514499,0.0,8,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,aerialmpt,baseline_failure,5,2.7401,2.7401,2.7401,2.7401,0.0,8,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,aerialmpt,baseline_failure,10,4.176528,4.176528,4.176528,4.176528,0.0,7,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,aerialmpt,ge5,1,0.514499,0.514499,0.514499,0.514499,0.0,8,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,aerialmpt,ge5,5,2.7401,2.7401,2.7401,2.7401,0.0,8,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,aerialmpt,ge5,10,4.176528,4.176528,4.176528,4.176528,0.0,7,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,aerialmpt,goalbench_official,1,0.514499,0.514499,0.514499,0.514499,0.0,8,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,aerialmpt,goalbench_official,5,2.7401,2.7401,2.7401,2.7401,0.0,8,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,aerialmpt,goalbench_official,10,4.176528,4.176528,4.176528,4.176528,0.0,7,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,aerialmpt,hard,1,0.514499,0.514499,0.514499,0.514499,0.0,8,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,aerialmpt,hard,5,2.7401,2.7401,2.7401,2.7401,0.0,8,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,aerialmpt,hard,10,4.176528,4.176528,4.176528,4.176528,0.0,7,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy,all,1,0.299653,0.299653,0.299653,0.299653,0.0,30,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy,all,5,1.529704,1.529704,1.529704,1.529704,0.0,28,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy,all,10,3.077245,3.077245,3.077245,3.077245,0.0,25,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy,baseline_failure,1,0.300267,0.300267,0.300267,0.300267,0.0,28,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy,baseline_failure,5,1.571979,1.571979,1.571979,1.571979,0.0,26,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy,baseline_failure,10,3.208317,3.208317,3.208317,3.208317,0.0,23,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy,easy,1,0.410458,0.410458,0.410458,0.410458,0.0,3,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy,easy,5,1.962682,1.962682,1.962682,1.962682,0.0,3,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy,easy,10,3.960468,3.960468,3.960468,3.960468,0.0,3,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy,ge5,1,0.270747,0.270747,0.270747,0.270747,0.0,20,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy,ge5,5,1.382494,1.382494,1.382494,1.382494,0.0,20,0.0,0.0,1.0,1,low,0.05,1,1,none,none
